"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value","id"
1,"Animal Products",101,"Live animals",10101,"Horses",3316601863,"10101"
1,"Animal Products",101,"Live animals",10102,"Bovine",9050742117,"10102"
1,"Animal Products",101,"Live animals",10103,"Pigs",4180847046,"10103"
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",1732222449,"10104"
1,"Animal Products",101,"Live animals",10105,"Poultry",3200486732,"10105"
1,"Animal Products",101,"Live animals",10106,"Other Animals",1228951066,"10106"
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",23984686436,"10201"
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",28214398001,"10202"
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",33079859881,"10203"
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",8005704656,"10204"
1,"Animal Products",102,"Meat and edible meat offal",10205,"Horse Meat",447049003,"10205"
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",8211069495,"10206"
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",27068701997,"10207"
1,"Animal Products",102,"Meat and edible meat offal",10208,"Other Meat",806650658,"10208"
1,"Animal Products",102,"Meat and edible meat offal",10209,"Animal Fat",817789101,"10209"
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",4635093038,"10210"
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",2441867239,"10301"
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",21208551915,"10302"
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",25621571422,"10303"
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",25407992525,"10304"
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",6692105988,"10305"
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",27226019311,"10306"
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",10845591739,"10307"
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",9146597932,"10401"
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",21336352075,"10402"
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",4551786706,"10403"
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10404,"Whey",4582245948,"10404"
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",9752169968,"10405"
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",32431117092,"10406"
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",4073067485,"10407"
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",1109882599,"10408"
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",2005547929,"10409"
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10410,"Other Edible Animal Products",824045716,"10410"
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10501,"Human Hair",111812710,"10501"
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10502,"Pig Hair",123607704,"10502"
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10504,"Animal Organs",5329889297,"10504"
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10505,"Bird Feathers and Skins",2085106266,"10505"
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10506,"Processed Bones",307468794,"10506"
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10507,"Raw Bones",149047491,"10507"
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10508,"Coral and Shells",166715662,"10508"
